Name,MKT CAP,ENTERPRISE VALUE,Area,Type,Announced,Date,Q,V,M,SR,QV,QM,VM,F Score,Bankruptcy,Analyst Target Price,Spread,DayBefore,OnDay,All Share,Return,Return v's All Share,Category,Debt Category,Debt,Style,,,,
PAGE,"£1,458.40","£1,436.80",Industrials,Trading Statement,Yes,25/07/2023,99,65,54,87,82,77,60,8,8.26,19.87%,5,443,448.6,0.17%,1.26%,1.09%,G <2000m,E >-20%,0%,Large Cap,,,,
RCH,£222.60,£228.90,Consumer Cyclicals,Interim Result,Yes,25/07/2023,53,95,29,63,74,41,62,6,0.77,125.55%,36,68.15,81.55,0.17%,19.66%,19.49%,D <250m,E >-20%,0%,Small Cap,,,,
SMS,£902.10,£945.60,Technology,Trading Statement,Yes,25/07/2023,67,24,56,45,46,62,40,6,4.08,68.71%,59,694,699,0.17%,0.72%,0.55%,F <1000m,E >-20%,0%,Small Cap,,,,
TSTL,£168.00,£165.10,Industrials,Trading Statement,Yes,25/07/2023,96,9,81,68,53,89,45,7,12.34,30.33%,282,355,367.5,0.17%,3.52%,3.35%,D <250m,E >-20%,0%,Small Cap,,,,
TYMN,£557.40,£732.90,Consumer Cyclicals,Interim Result,Yes,25/07/2023,77,72,86,94,75,82,79,6,2.94,10.01%,18,282,298,0.17%,5.67%,5.50%,F <1000m,C >20%,30%,Large Cap,,,,
ULVR,"£102,663.40","£124,608.90",Consumer Defensives,Interim Result,Yes,25/07/2023,96,34,78,83,65,87,56,7,1.91,8.76%,1,"4,012.52","4,193.00",0.17%,4.50%,4.33%,H >2000m,D >0%,20%,Large Cap,,,,
UTG,"£3,846.60","£5,193.20",Financials,Interim Result,Yes,25/07/2023,49,32,73,48,41,61,53,4,3.65,11.34%,5,963,962,0.17%,-0.10%,-0.27%,H >2000m,C >20%,40%,Financials,,,,
APTD,£157.10,£141.20,Technology,Interim Result,Yes,26/07/2023,91,16,30,39,54,61,23,7,4.49,129.32%,110,283,280,-0.67%,-1.06%,-0.39%,D <250m,E >-20%,-10%,Small Cap,,,,
CRE,£775.80,£689.70,Financials,Interim Result,Yes,26/07/2023,27,68,71,55,48,49,70,5,,23.11%,21,477.5,491.75,-0.67%,2.98%,3.65%,F <1000m,E >-20%,-10%,Financials,,,,
ECOR,£305.90,£334.80,Basic Materials,Trading Statement,Yes,26/07/2023,93,88,10,72,91,52,49,8,,66.90%,17,118.8,117.8,-0.67%,-0.84%,-0.17%,E <500m,D >0%,10%,Large Cap,,,,
FRES,"£4,595.60","£5,017.00",Basic Materials,Trading Statement,Yes,26/07/2023,60,32,45,39,46,53,39,4,5.64,23.59%,3,632,618.2,-0.67%,-2.18%,-1.51%,H >2000m,D >0%,10%,Large Cap,,,,
FRP,£304.30,£289.00,Industrials,Final Result,Yes,26/07/2023,90,30,45,55,60,68,38,6,12.34,45.90%,165,121.25,118,-0.67%,-2.68%,-2.01%,E <500m,E >-20%,-10%,Small Cap,,,,
GHT,£119.20,£114.60,Technology,Interim Result,Yes,26/07/2023,94,18,51,53,56,73,35,8,4.44,54.39%,351,142.5,135,-0.67%,-5.26%,-4.59%,D <250m,E >-20%,0%,Small Cap,,,,
HSP,£148.30,£160.70,Industrials,Final Result,Yes,26/07/2023,41,90,70,79,66,56,80,5,4.35,55.87%,417,460,460,-0.67%,0.00%,0.67%,D <250m,D >0%,10%,Outside,,,,
LLOY,"£29,653.70","£63,749.70",Financials,Interim Result,Yes,26/07/2023,37,93,78,82,65,58,86,5,,36.95%,1,46.1,45.01,-0.67%,-2.36%,-1.69%,H >2000m,A >100%,110%,Financials,,,,
MARS,£208.30,"£1,800.60",Consumer Cyclicals,Trading Statement,Yes,26/07/2023,56,98,35,70,77,46,67,7,-0.09,51.08%,15,31.85,32.4,-0.67%,1.73%,2.40%,D <250m,A >100%,760%,Large Cap,,,,
NICL,£373.90,£320.10,Consumer Defensives,Interim Result,Yes,26/07/2023,98,27,60,68,63,79,44,7,10.11,13.05%,390,"1,000.00","1,048.12",-0.67%,4.81%,5.48%,E <500m,E >-20%,-10%,Small Cap,,,,
PHP,"£1,285.00","£2,558.50",Financials,Interim Result,Yes,26/07/2023,81,36,30,44,59,56,33,7,2.08,18.58%,5,94.6,96.68,-0.67%,2.20%,2.87%,G <2000m,B >60%,100%,Financials,,,,
RAT,"£1,207.80","£2,402.40",Financials,Interim Result,Yes,26/07/2023,53,54,71,64,54,62,63,6,,9.45%,11,"1,926.00","1,872.99",-0.67%,-2.75%,-2.08%,G <2000m,B >60%,100%,Financials,,,,
RBG,£13.60,£156.50,Consumer Cyclicals,Trading Statement,Yes,26/07/2023,10,93,42,44,52,26,68,3,-1.8,196.61%,339,5.85,6,-0.67%,2.56%,3.23%,B <50m,A >100%,1050%,Small Cap,,,,
RIO,"£83,980.70","£88,216.20",Basic Materials,Interim Result,Yes,26/07/2023,82,73,36,72,78,59,55,5,5.85,11.63%,2,"5,394.00","5,254.00",-0.67%,-2.60%,-1.93%,H >2000m,D >0%,10%,Large Cap,,,,
SAG,£187.50,£157.00,Industrials,Interim Result,Yes,26/07/2023,88,36,84,83,62,86,60,6,,46.39%,241,415,430,-0.67%,3.61%,4.28%,D <250m,F >-60%,-20%,Small Cap,,,,
VANL,£45.70,£48.20,Industrials,Final Result,Yes,26/07/2023,91,70,68,91,81,80,69,7,2.86,26.17%,488,41,42.1,-0.67%,2.68%,3.35%,B <50m,D >0%,10%,Outside,,,,
AAF,"£4,130.20","£6,395.30",Telecoms,Interim Result,Yes,27/07/2023,79,70,22,59,75,51,46,7,0.88,29.53%,27,108.67,112.6,0.25%,3.62%,3.37%,H >2000m,C >20%,50%,Small Cap,,,,
AAL,"£33,519.70","£43,667.80",Basic Materials,Interim Result,Yes,27/07/2023,76,71,42,71,74,59,57,5,5.05,8.24%,2,"2,440.01","2,478.50",0.25%,1.58%,1.33%,H >2000m,C >20%,30%,Large Cap,,,,
BARC,"£25,436.80","£32,857.80",Financials,Interim Result,Yes,27/07/2023,40,94,80,86,67,60,87,4,,48.30%,1,161.24,156.74,0.25%,-2.79%,-3.04%,H >2000m,C >20%,30%,Financials,,,,
BATS,"£58,905.70","£97,837.70",Consumer Defensives,Interim Result,Yes,27/07/2023,74,88,61,89,81,68,75,7,1.55,37.32%,6,"2,640.50","2,619.50",0.25%,-0.80%,-1.05%,H >2000m,B >60%,70%,Large Cap,,,,
BVIC,"£2,274.00","£2,958.40",Consumer Defensives,Trading Statement,Yes,27/07/2023,90,43,97,92,67,94,70,7,2.41,10.65%,6,875.31,883.5,0.25%,0.94%,0.69%,H >2000m,C >20%,30%,Large Cap,,,,
BT.A,"£12,348.70","£32,288.70",Telecoms,Trading Statement,Yes,27/07/2023,52,91,27,59,72,40,59,6,1.33,46.12%,4,124.65,123.4,0.25%,-1.00%,-1.25%,H >2000m,A >100%,160%,Large Cap,,,,
CVSG,"£1,369.90","£1,529.90",Healthcare,Trading Statement,Yes,27/07/2023,96,11,69,63,54,83,40,8,6.47,25.74%,16,"1,888.00","2,000.00",0.25%,5.93%,5.68%,G <2000m,D >0%,10%,Large Cap,,,,
DPEU,£68.50,£88.50,Consumer Cyclicals,Trading Statement,Yes,27/07/2023,46,63,64,61,55,55,64,4,0.78,199.31%,128,47,49.1,0.25%,4.47%,4.22%,C <100m,C >20%,30%,Small Cap,,,,
DRX,"£2,389.50","£3,758.90",Utilities,Interim Result,Yes,27/07/2023,70,56,69,74,63,70,63,8,1.3,48.67%,3,616.6,611.4,0.25%,-0.84%,-1.09%,H >2000m,C >20%,60%,Large Cap,,,,
FOXT,£114.50,£148.90,Financials,Interim Result,Yes,27/07/2023,75,71,69,86,73,72,70,7,3.33,42.11%,157,38.11,39.95,0.25%,4.83%,4.58%,D <250m,C >20%,30%,Financials,,,,
FRAN,£286.80,£278.50,Consumer Cyclicals,Interim Result,Yes,27/07/2023,88,16,41,44,52,65,29,7,,113.97%,339,146.27,146.25,0.25%,-0.01%,-0.26%,E <500m,E >-20%,0%,Small Cap,,,,
FRAS,"£3,497.50","£4,692.70",Consumer Cyclicals,Final Result,Yes,27/07/2023,64,67,53,68,66,59,60,6,4.92,14.45%,7,772,795.63,0.25%,3.06%,2.81%,H >2000m,C >20%,30%,Large Cap,,,,
UKW,"£3,329.30","£4,409.90",Financials,Interim Result,Yes,27/07/2023,,,,,0,0,0,7,5.21,30.22%,14,144.35,148.65,0.25%,2.98%,2.73%,H >2000m,C >20%,30%,Financials,,,,
HMSO,"£1,253.60","£2,690.20",Financials,Interim Result,Yes,27/07/2023,32,26,72,36,29,52,49,6,1.23,-4.38%,48,25.18,26.08,0.25%,3.57%,3.32%,G <2000m,A >100%,110%,Financials,,,,
INCH,"£3,178.10","£4,089.20",Consumer Cyclicals,Interim Result,Yes,27/07/2023,82,71,49,79,77,66,60,6,2.21,53.49%,19,768,869,0.25%,13.15%,12.90%,H >2000m,C >20%,30%,Large Cap,,,,
INDV,"£2,594.90","£2,264.60",Healthcare,Interim Result,Yes,27/07/2023,77,25,68,58,51,73,47,5,1.66,32.01%,5,"1,863.00","1,776.00",0.25%,-4.67%,-4.92%,H >2000m,E >-20%,-10%,Large Cap,,,,
INF,"£10,357.20","£10,756.80",Industrials,Interim Result,Yes,27/07/2023,80,21,92,73,51,86,57,8,3.98,11.89%,3,740.6,775.72,0.25%,4.74%,4.49%,H >2000m,E >-20%,0%,Large Cap,,,,
ITV,"£2,749.00","£3,417.00",Consumer Cyclicals,Interim Result,Yes,27/07/2023,74,86,56,87,80,65,71,5,3.34,43.45%,3,69.08,72.97,0.25%,5.63%,5.38%,H >2000m,D >0%,20%,Large Cap,,,,
JUP,£585.30,£237.10,Financials,Interim Result,Yes,27/07/2023,89,92,46,91,91,68,69,5,,19.57%,9,107.4,121.4,0.25%,13.04%,12.79%,F <1000m,G >-100%,-60%,Financials,,,,
MAB,"£1,256.10","£2,951.10",Consumer Cyclicals,Trading Statement,Yes,27/07/2023,53,83,97,93,68,75,90,5,0.65,22.62%,10,214,230.8,0.25%,7.85%,7.60%,G <2000m,A >100%,130%,Large Cap,,,,
MCG,£631.30,"£1,868.00",Industrials,Interim Result,Yes,27/07/2023,50,87,26,53,69,38,57,6,-0.65,81.59%,10,105,99.6,0.25%,-5.14%,-5.39%,F <1000m,A >100%,200%,Large Cap,,,,
MGAM,£787.60,"£1,028.50",Industrials,Interim Result,Yes,27/07/2023,84,75,74,93,80,79,75,5,2.83,37.86%,18,274.26,279,0.25%,1.73%,1.48%,F <1000m,C >20%,30%,Large Cap,,,,
REL,"£48,501.00","£54,875.00",Industrials,Interim Result,Yes,27/07/2023,95,15,89,77,55,92,52,7,4.68,6.40%,4,"2,522.94","2,628.00",0.25%,4.16%,3.91%,H >2000m,D >0%,10%,Large Cap,,,,
RTO,"£16,229.10","£19,413.10",Industrials,Interim Result,Yes,27/07/2023,85,11,93,71,48,89,52,6,3.83,-1.72%,3,637.2,655.32,0.25%,2.84%,2.59%,H >2000m,D >0%,20%,Large Cap,,,,
RSG,£487.40,£478.30,Basic Materials,Trading Statement,Yes,27/07/2023,33,47,95,62,40,64,71,6,1,84.48%,611,23.6,21.24,0.25%,-10.00%,-10.25%,E <500m,E >-20%,0%,Outside,,,,
RS1,"£3,644.30","£3,758.00",Technology,Trading Statement,Yes,27/07/2023,92,52,47,72,72,70,50,6,7.36,37.37%,13,758,760.8,0.25%,0.37%,0.12%,H >2000m,E >-20%,0%,Large Cap,,,,
SGE,"£9,514.70","£10,205.70",Technology,Interim Result,Yes,27/07/2023,90,12,98,78,51,94,55,6,4.85,-1.12%,2,925.8,934.8,0.25%,0.97%,0.72%,H >2000m,D >0%,10%,Large Cap,,,,
SDP,£787.80,£775.50,Financials,Interim Result,Yes,27/07/2023,,,,,0,0,0,7,49.78,,20,500.32,501.67,0.25%,0.27%,0.02%,F <1000m,E >-20%,0%,Financials,,,,
SERE,£100.30,£134.50,Financials,Interim Result,Yes,27/07/2023,77,60,40,63,69,59,50,6,3.17,,418,76.33,76.44,0.25%,0.14%,-0.11%,D <250m,C >20%,30%,Financials,,,,
SDR,"£7,642.20","£8,826.80",Financials,Interim Result,Yes,27/07/2023,65,58,50,60,62,58,54,7,,0.42%,4,457,461.7,0.25%,1.03%,0.78%,H >2000m,D >0%,20%,Financials,,,,
SGRO,"£9,601.50","£14,313.50",Financials,Interim Result,Yes,27/07/2023,68,22,35,34,45,52,29,5,2.44,12.72%,3,779,778.8,0.25%,-0.03%,-0.28%,H >2000m,C >20%,50%,Financials,,,,
SHEL,"£161,573.20","£196,675.50",Energy,Interim Result,Yes,27/07/2023,96,88,85,99,92,91,87,9,4.27,29.79%,2,"2,381.50","2,362.50",0.25%,-0.80%,-1.05%,H >2000m,D >0%,20%,Large Cap,,,,
STJ,"£6,437.30","£6,464.60",Financials,Interim Result,Yes,27/07/2023,33,55,92,65,44,63,74,4,,21.39%,4,"1,176.00",995.2,0.25%,-15.37%,-15.62%,H >2000m,E >-20%,0%,Financials,,,,
VSVS,"£1,183.00","£1,500.10",Industrials,Interim Result,Yes,27/07/2023,98,89,96,99,94,97,93,9,2.78,12.13%,9,434.2,455,0.25%,4.79%,4.54%,G <2000m,C >20%,30%,Large Cap,,,,
AIBG,"£8,968.00","-£16,381.60",Financials,Interim Result,Yes,28/07/2023,47,58,98,80,53,73,78,4,,27.50%,131,341.5,363.5,-0.03%,6.44%,6.47%,H >2000m,G >-100%,-280%,Financials,,,,
GCP,£665.50,£792.90,Financials,Trading Statement,Yes,28/07/2023,53,76,45,61,65,49,61,5,,31.93%,53,76.4,75.52,-0.03%,-1.15%,-1.12%,F <1000m,D >0%,20%,Financials,,,,
IMI,"£4,248.70","£5,058.70",Industrials,Interim Result,Yes,28/07/2023,82,28,98,83,55,90,63,6,3.32,15.16%,6,"1,638.00","1,602.53",-0.03%,-2.17%,-2.14%,H >2000m,D >0%,20%,Large Cap,,,,
IPEL,£320.70,£300.60,Industrials,Interim Result,Yes,28/07/2023,91,76,90,98,84,91,83,7,1.99,,420,705,705,-0.03%,0.00%,0.03%,E <500m,E >-20%,-10%,Outside,,,,
IAG,"£7,495.60","£16,399.70",Industrials,Interim Result,Yes,28/07/2023,57,51,82,71,54,70,67,9,-0.62,34.86%,3,154.55,160.95,-0.03%,4.14%,4.17%,H >2000m,A >100%,120%,Large Cap,,,,
ITRK,"£6,847.90","£7,942.00",Industrials,Interim Result,Yes,28/07/2023,79,30,86,74,55,83,58,6,4.73,6.07%,2,"4,279.00","4,374.00",-0.03%,2.22%,2.25%,H >2000m,D >0%,20%,Large Cap,,,,
JARJ,"£10,973.70","£42,980.80",Industrials,Interim Result,Yes,28/07/2023,,,,,0,0,0,6,1.78,,,58.38,58.38,-0.03%,0.00%,0.03%,H >2000m,A >100%,290%,Large Cap,,,,
NWG,"£25,483.50","-£46,019.50",Financials,Interim Result,Yes,28/07/2023,32,93,60,68,63,46,77,3,,50.71%,4,238.9,246.8,-0.03%,3.31%,3.34%,H >2000m,G >-100%,-280%,Financials,,,,
PAY,£338.20,£361.10,Industrials,Final Result,Yes,28/07/2023,88,64,50,79,76,69,57,7,,40.88%,11,469,487.05,-0.03%,3.85%,3.88%,E <500m,D >0%,10%,Large Cap,,,,
RMV,"£4,466.50","£4,436.00",Technology,Interim Result,Yes,28/07/2023,96,13,75,67,55,86,44,7,160.7,8.59%,4,551,551,-0.03%,0.00%,0.03%,H >2000m,E >-20%,0%,Large Cap,,,,
STAN,"£19,851.40",£974.40,Financials,Interim Result,Yes,28/07/2023,55,85,93,93,70,74,89,6,,18.53%,3,708,745.6,-0.03%,5.31%,5.34%,H >2000m,G >-100%,-100%,Financials,,,,
YOU,"£1,207.80","£1,177.40",Consumer Cyclicals,Trading Statement,Yes,28/07/2023,98,8,95,78,53,97,52,7,14.1,32.14%,474,"1,070.00",978,-0.03%,-8.60%,-8.57%,G <2000m,E >-20%,0%,Outside,,,,
BIRG,"£8,519.30","-£17,194.70",Financials,Interim Result,Yes,31/07/2023,60,73,96,92,67,78,85,6,,38.71%,5,9.62,9.51,0.07%,-1.14%,-1.21%,H >2000m,G >-100%,-300%,Financials,,,,
HCM,"£1,931.50","£1,476.30",Healthcare,Interim Result,Yes,31/07/2023,51,6,41,22,29,46,24,4,1.89,82.27%,244,231.1,223.25,0.07%,-3.40%,-3.47%,G <2000m,F >-60%,-20%,Small Cap,,,,
PODP,£50.90,-£15.10,Industrials,Interim Result,Yes,31/07/2023,28,63,18,25,46,23,41,5,1.26,190.39%,46,31.31,30.6,0.07%,-2.27%,-2.34%,C <100m,G >-100%,-130%,Small Cap,,,,
QTX,£113.70,£109.40,Technology,Interim Result,Yes,31/07/2023,95,19,56,58,57,76,38,6,9.83,123.40%,"1,277",235,235,0.07%,0.00%,-0.07%,D <250m,E >-20%,0%,Outside,,,,
RCDO,£369.60,£426.00,Industrials,Trading Statement,Yes,31/07/2023,67,28,93,70,48,80,61,5,,3.22%,101,600.99,586,0.07%,-2.49%,-2.56%,E <500m,D >0%,20%,Small Cap,,,,
SNR,£717.20,£896.10,Industrials,Interim Result,Yes,31/07/2023,69,34,95,76,52,82,65,6,2.42,11.70%,12,171.4,166.6,0.07%,-2.80%,-2.87%,F <1000m,D >0%,20%,Large Cap,,,,
SXS,"£3,730.90","£3,568.00",Technology,Interim Result,Yes,31/07/2023,95,20,93,83,58,94,57,7,6.43,11.77%,3,"3,546.00","3,511.00",0.07%,-0.99%,-1.06%,H >2000m,E >-20%,0%,Large Cap,,,,
BP.,"£82,293.40","£114,762.70",Energy,Interim Result,Yes,01/08/2023,72,91,82,96,82,77,87,8,1.79,26.37%,1,483,491.95,-0.30%,1.85%,2.15%,H >2000m,C >20%,40%,Large Cap,,,,
COA,"£1,108.30","£1,523.80",Consumer Cyclicals,Interim Result,Yes,01/08/2023,67,42,46,48,55,57,44,4,2.41,48.02%,14,70,70.9,-0.30%,1.29%,1.59%,G <2000m,C >20%,40%,Large Cap,,,,
DGE,"£77,151.60","£93,323.30",Consumer Defensives,Final Result,Yes,01/08/2023,84,17,32,38,51,58,25,5,2.85,10.74%,1,"3,397.50","3,382.50",-0.30%,-0.44%,-0.14%,H >2000m,D >0%,20%,Large Cap,,,,
DOM,"£1,443.20","£1,919.90",Consumer Cyclicals,Interim Result,Yes,01/08/2023,94,38,82,86,66,88,60,7,3,-9.38%,6,347.4,394.6,-0.30%,13.59%,13.89%,G <2000m,C >20%,30%,Large Cap,,,,
FTC,£38.20,£37.20,Technology,Final Result,Yes,01/08/2023,81,20,86,69,51,84,53,5,5.84,12.68%,845,17.5,15.41,-0.30%,-11.94%,-11.64%,B <50m,E >-20%,0%,Outside,,,,
FRES,"£4,468.80","£4,889.70",Basic Materials,Interim Result,Yes,01/08/2023,60,34,41,39,47,51,38,4,5.57,23.84%,3,618.2,589.6,-0.30%,-4.63%,-4.33%,H >2000m,D >0%,10%,Large Cap,,,,
GRG,"£2,779.30","£2,889.00",Consumer Cyclicals,Interim Result,Yes,01/08/2023,98,26,79,79,62,89,53,8,8.26,16.96%,7,"2,762.00","2,568.00",-0.30%,-7.02%,-6.72%,H >2000m,E >-20%,0%,Large Cap,,,,
HSBA,"£127,637.00","-£32,520.20",Financials,Interim Result,Yes,01/08/2023,49,80,95,89,65,72,88,6,,17.67%,2,646.3,654,-0.30%,1.19%,1.49%,H >2000m,G >-100%,-130%,Financials,,,,
KLR,£615.00,£916.20,Industrials,Interim Result,Yes,01/08/2023,75,76,92,96,76,84,84,6,2.6,35.68%,12,856,841,-0.30%,-1.75%,-1.45%,F <1000m,C >20%,50%,Large Cap,,,,
EMG,"£2,841.30","£2,808.60",Financials,Interim Result,Yes,01/08/2023,74,78,86,95,76,80,82,7,,16.01%,4,238.8,221.2,-0.30%,-7.37%,-7.07%,H >2000m,E >-20%,0%,Financials,,,,
MTRO,£202.30,-£696.70,Financials,Interim Result,Yes,01/08/2023,17,69,73,52,43,45,71,3,,66.38%,34,118.2,116.89,-0.30%,-1.11%,-0.81%,D <250m,G >-100%,-440%,Financials,,,,
NWF,£132.20,£162.20,Energy,Final Result,Yes,01/08/2023,95,81,92,99,88,94,87,8,2.65,-1.81%,187,265,255.9,-0.30%,-3.43%,-3.13%,D <250m,D >0%,20%,Small Cap,,,,
RWA,£300.40,£279.70,Industrials,Interim Result,Yes,01/08/2023,94,85,26,81,90,60,56,6,4.82,55.38%,24,412,401.5,-0.30%,-2.55%,-2.25%,E <500m,E >-20%,-10%,Large Cap,,,,
STAF,£41.90,£41.80,Industrials,Interim Result,Yes,01/08/2023,65,87,40,73,76,53,64,7,-0.48,132.56%,233,25.45,26.8,-0.30%,5.30%,5.60%,B <50m,E >-20%,0%,Small Cap,,,,
SYS1,£20.90,£16.40,Consumer Cyclicals,Final Result,Yes,01/08/2023,95,24,49,58,60,72,37,5,6.11,133.33%,606,165,165,-0.30%,0.00%,0.30%,B <50m,F >-60%,-20%,Outside,,,,
TPK,"£1,892.20","£2,710.70",Consumer Cyclicals,Interim Result,Yes,01/08/2023,78,77,18,61,78,48,48,7,3.52,4.39%,4,870.8,889.4,-0.30%,2.14%,2.44%,G <2000m,C >20%,40%,Large Cap,,,,
VMUK,"£2,406.30","£6,263.30",Financials,Trading Statement,Yes,01/08/2023,34,95,85,85,65,60,90,5,,23.42%,3,176.4,175.8,-0.30%,-0.34%,-0.04%,H >2000m,A >100%,160%,Financials,,,,
VINO,£17.90,£7.10,Consumer Defensives,Trading Statement,Yes,01/08/2023,55,75,21,46,65,38,48,4,3.51,118.75%,"1,250",34,34,-0.30%,0.00%,0.30%,B <50m,G >-100%,-60%,Outside,,,,
WEIR,"£4,647.10","£5,455.70",Industrials,Interim Result,Yes,01/08/2023,87,33,81,79,60,84,57,8,2.74,23.09%,3,"1,835.00","1,863.00",-0.30%,1.53%,1.83%,H >2000m,D >0%,20%,Large Cap,,,,
XPP,£414.40,£618.70,Industrials,Interim Result,Yes,01/08/2023,19,52,22,20,36,21,37,1,1.77,21.63%,24,"2,040.00","2,145.00",-0.30%,5.15%,5.45%,E <500m,C >20%,50%,Large Cap,,,,
BA.,"£28,379.20","£32,063.20",Industrials,Interim Result,Yes,02/08/2023,87,45,96,91,66,92,71,6,2.14,14.96%,4,935.4,992.8,-1.40%,6.14%,7.54%,H >2000m,D >0%,10%,Large Cap,,,,
DLG,"£1,953.10","£1,701.40",Financials,Interim Result,Yes,02/08/2023,48,79,27,48,64,38,53,5,,31.81%,3,150.75,147.05,-1.40%,-2.45%,-1.05%,G <2000m,E >-20%,-10%,Financials,,,,
EDV,"£4,652.90","£5,064.90",Basic Materials,Interim Result,Yes,02/08/2023,58,31,83,59,45,71,57,4,4.85,34.05%,5,"1,837.00","1,735.00",-1.40%,-5.55%,-4.15%,H >2000m,D >0%,10%,Large Cap,,,,
FXPO,£549.10,£466.30,Basic Materials,Interim Result,Yes,02/08/2023,88,98,10,75,93,49,54,5,19.59,68.02%,27,91.3,86.85,-1.40%,-4.87%,-3.47%,F <1000m,F >-60%,-20%,Small Cap,,,,
HLN,"£31,055.90","£40,937.90",Healthcare,Interim Result,Yes,02/08/2023,43,33,57,38,38,50,45,,2.12,6.71%,1,333.1,321.65,-1.40%,-3.44%,-2.04%,H >2000m,C >20%,30%,Large Cap,,,,
IPO,£620.10,£474.80,Financials,Interim Result,Yes,02/08/2023,45,63,39,45,54,42,51,3,,96.77%,33,60,57.4,-1.40%,-4.33%,-2.93%,F <1000m,F >-60%,-20%,Financials,,,,
PTSB,"£1,046.60",£342.60,Financials,Interim Result,Yes,02/08/2023,48,97,91,93,73,70,94,5,,32.16%,88,2.28,2.27,-1.40%,-0.44%,0.96%,G <2000m,G >-100%,-70%,Financials,,,,
SKG,"£8,069.10","£10,653.50",Basic Materials,Interim Result,Yes,02/08/2023,98,64,71,92,81,85,68,9,2.65,23.48%,6,"3,076.00","3,116.00",-1.40%,1.30%,2.70%,H >2000m,C >20%,30%,Large Cap,,,,
SPT,"£1,000.10",£854.00,Technology,Interim Result,Yes,02/08/2023,99,48,39,69,74,69,44,8,5.8,38.20%,24,168.5,152.1,-1.40%,-9.73%,-8.33%,G <2000m,E >-20%,-10%,Large Cap,,,,
TW.,"£4,039.00","£3,202.20",Consumer Cyclicals,Interim Result,Yes,02/08/2023,89,93,32,86,91,61,63,6,9.77,14.51%,4,113.5,117.35,-1.40%,3.39%,4.79%,H >2000m,F >-60%,-20%,Large Cap,,,,
VMUK,"£2,410.40","£6,267.40",Financials,Trading Statement,Yes,02/08/2023,34,95,81,83,65,58,88,5,,23.21%,11,176.45,178.45,-1.40%,1.13%,2.53%,H >2000m,A >100%,160%,Financials,,,,
WRKS,£19.90,£117.90,Consumer Cyclicals,Final Result,Yes,02/08/2023,60,73,53,70,67,57,63,6,-0.63,95.39%,627,30.58,31.8,-1.40%,3.99%,5.39%,B <50m,A >100%,490%,Outside,,,,
CPI,£454.20,£983.20,Industrials,Interim Result,Yes,04/08/2023,53,84,80,87,69,67,82,7,-2.31,71.24%,7,26.7,22.84,0.17%,-14.46%,-14.63%,E <500m,A >100%,120%,Large Cap,,,,
TRIG,"£2,806.40","£2,782.00",Financials,Interim Result,Yes,04/08/2023,85,78,62,90,82,74,70,5,149.27,24.49%,18,113.72,114.83,0.17%,0.98%,0.81%,H >2000m,E >-20%,0%,Financials,,,,
WPP,"£9,136.10","£14,305.60",Consumer Cyclicals,Interim Result,Yes,04/08/2023,71,62,76,83,67,74,69,7,0.47,45.96%,2,845.2,792.27,0.17%,-6.26%,-6.43%,H >2000m,C >20%,60%,Large Cap,,,,
HGEN,£63.70,£45.50,Financials,Interim Result,Yes,07/08/2023,25,37,29,19,31,27,33,2,438.2,91.10%,546,50.48,55,-0.47%,8.95%,9.42%,C <100m,F >-60%,-30%,Financials,,,,
KOS,"£2,608.60","£4,254.70",Energy,Trading Statement,Yes,07/08/2023,56,47,49,47,52,53,48,8,0.39,38.55%,807,565,540,-0.47%,-4.42%,-3.95%,H >2000m,C >20%,60%,Outside,,,,
PAGE,"£1,467.60","£1,446.00",Industrials,Interim Result,Yes,07/08/2023,99,64,57,88,82,78,61,8,8.28,18.23%,4,448.4,448.4,-0.47%,0.00%,0.47%,G <2000m,E >-20%,0%,Large Cap,,,,
ABDN,"£4,249.20","£3,948.20",Financials,Interim Result,Yes,08/08/2023,50,34,97,66,42,74,66,5,,-7.74%,5,218.2,198.7,-0.45%,-8.94%,-8.49%,H >2000m,E >-20%,-10%,Financials,,,,
GLEN,"£57,395.60","£75,173.30",Basic Materials,Interim Result,Yes,08/08/2023,90,87,16,74,89,53,52,8,3.45,19.22%,2,452.4,438.65,-0.45%,-3.04%,-2.59%,H >2000m,C >20%,30%,Large Cap,,,,
HAT,£181.20,£204.10,Financials,Interim Result,Yes,08/08/2023,48,75,65,71,62,57,70,4,,,217,401,399.17,-0.45%,-0.46%,-0.01%,D <250m,D >0%,10%,Financials,,,,
IWG,"£1,510.00","£8,261.00",Financials,Interim Result,Yes,08/08/2023,67,65,39,58,66,53,52,8,-1.07,35.59%,27,150.9,151.3,-0.45%,0.27%,0.72%,G <2000m,A >100%,450%,Financials,,,,
LLAI,£15.70,£9.90,Healthcare,Interim Result,Yes,08/08/2023,19,3,19,4,11,19,11,5,-2.18,267.08%,488,57,57.5,-0.45%,0.88%,1.33%,B <50m,F >-60%,-40%,Outside,,,,
QLT,"£1,013.10",-£478.90,Financials,Interim Result,Yes,08/08/2023,61,95,57,85,78,59,76,7,,41.30%,28,71.8,79.45,-0.45%,10.65%,11.10%,G <2000m,G >-100%,-150%,Financials,,,,
ROR,"£2,553.40","£2,448.90",Industrials,Interim Result,Yes,08/08/2023,93,17,77,70,55,85,47,6,13.57,19.35%,7,295.8,299.2,-0.45%,1.15%,1.60%,H >2000m,E >-20%,0%,Large Cap,,,,
